"uid","userName","catagory","sub_catagory","product","listing_amount","counts","total_bid_amount"
"e3596f15-7e93-4484-83fc-d24588c3d650","FirstForm","Collectible Toys","Funko","Howie Mandel Autographed Gizmo Funko Pop","1","10","293"
"a5fdf191-95ea-40c7-8141-42864d4ae90f","pokepodz ","Collectible Toys","Funko","🚨Flash 🚨 Flying Nimbus & Goku Auto","1","10","168"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","Captain America (Autographed)","1","10","442"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","Signed Kabuto funko #936","1","10","100"
"a7696b71-9c36-4a47-9d3d-a7d411be7dc5","eliproz ","Collectible Toys","Funko","Thomas Shelby - Cillian Murphy Auto","1","10","2520"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Luffy Gear 5 Chase Bundle","1","10","185"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Giyu (Autographed)","1","10","155"
"3988c122-122a-4305-8c91-f70d59255d54","smetcalf","Collectible Toys","Funko","Loki GITD (Autographed)","1","10","2353"
"3882937b-5dee-42e4-8f2c-3b65c50129e9","VinWeasel","Collectible Toys","Funko","Obi-Wan Kenobi 393 Ewan McGregor Auto","1","10","1860"
"3ded20be-81c5-4816-a17b-cce488ad63d0","mattd","Collectible Toys","Funko","🚨Flash Sale🚨 Jon Jones Autograph Becke","1","10","984"
"1a9ee37f-2dd0-4bc7-ac39-c5dabfe80b9c","olive137","Collectible Toys","Funko","Matt Murdock (Autographed)","1","9","359"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Red Ranger (auto)","1","9","130"
"8e250cc8-38bd-4515-8263-11df737dc487","paigestlawrence","Collectible Toys","Funko","⚡️FLASH SALE⚡️Ichigo (Autographed)","1","9","301"
"c0f5b84d-a7a7-4e4d-9e50-d0f5ac4b0334","GhostPriceX ","Collectible Toys","Funko","✍🏼 ANIME // Zeke Jaeger","1","9","165"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Armored Chopper (Autographed)","1","9","274"
"a8580fd0-8e4b-4b96-843b-5ae4fce587bd","steve","Collectible Toys","Funko","Luke Skywalker (Autographed)","1","9","6840"
"a15b777e-7e80-469e-8bdd-f81f4b445213","GXC10","Collectible Toys","Funko","Jason voorhees signed funko","1","9","161"
"3bc5dd7a-1a60-4c28-9b4c-feb66f50f653","Tru2thegame92","Collectible Toys","Funko","c2e2 madara con 15 min flash !! ","1","9","99"
"a2f14afa-70dc-44cd-9250-01cf6fb56852","Monthly Pops","Collectible Toys","Funko","Red Ranger (auto)","1","9","147"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Joker Chase 🔥","1","9","373"
"a15b777e-7e80-469e-8bdd-f81f4b445213","GXC10","Collectible Toys","Funko","15 min susanaru funko autograph ","1","9","114"
"f90da73d-47c2-427e-8566-d6fb034d6e0e","DaniFunko","Collectible Toys","Funko","Darth Maul (2019 Galactic Convention)","1","9","114"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Gohan Auto! 🚨 Flash Auction 🚨","1","9","99"
"a15b777e-7e80-469e-8bdd-f81f4b445213","GXC10","Collectible Toys","Funko","c2e2 madara con pop","1","8","83"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Deku in Onesie","5","8","127"
"5f83b34b-7650-4d1b-bc5a-546bfa6c32ad","WayneGarber ","Collectible Toys","Funko","Doctor Doom (2020 Spring Convention)","1","8","130"
"bbf53b38-cb13-48c5-85b1-358e93a4ce97","William_Jeriel7","Collectible Toys","Funko","battle Levi signed and quoted ","1","8","214"
"00fbcd00-a41f-4ce6-8060-d41680950603","Aimen Inc","Collectible Toys","Funko","Jon Snow (Autographed)","1","8","650"
"98aa1947-a2a1-4ae7-aac4-bcb5d168f674","sirxlance","Collectible Toys","Funko","Stitch (Red Disney Store Logo)","1","8","321"
"a5fdf191-95ea-40c7-8141-42864d4ae90f","pokepodz ","Collectible Toys","Funko","🚨Flash🚨 Soba Mask Chase Auto","1","8","78"
"97aa51f4-abe5-4adb-b914-0f011b815469","celticswin94","Collectible Toys","Funko","Gohan Auto! 🚨 Flash Auction 🚨","1","8","85"
"6d0ef107-6b55-4c9f-ac0d-8e1811bcf624","Saltydogcomics","Collectible Toys","Funko","Armored Chopper (Autographed)","1","8","246"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","madara c2e2 con sticker ","1","8","81"
"7bd0da77-b39c-462b-902f-0c6a928a455d","Chaister","Collectible Toys","Funko","Loki GITD (Autographed)","1","8","2134"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","Signed Adam Sandler Billy Madison + JSA","1","8","648"
"98918727-774a-41f2-9683-091699cdd3cd","CxLoss","Collectible Toys","Funko","🚨Chase Samurai Brook 1129🚨","1","8","555"
"50053b2c-1765-431b-b41f-f37875de2f31","Masadora_13","Collectible Toys","Funko","RECOOME AUTO","1","8","321"
"8d19272e-0873-45c3-ad8c-e85f1604cd6d","bnard","Collectible Toys","Funko","Spikey","1","8","112"
"ffad060d-2eb3-4995-aeab-222dd0d7ce07","MeatManMcLain","Collectible Toys","Funko","Goku Auto - 🚨 Flash Auction 🚨","1","8","149"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Funko Spider-Man 3 Pack","1","8","105"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","La Llorona (chase)","1","8","85"
"2a95da21-2114-402b-9aa6-66dbcb27d084","max","Collectible Toys","Funko","Chrollo Signed","1","8","140"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Billy (Dual Autographed)","1","8","318"
"e3596f15-7e93-4484-83fc-d24588c3d650","FirstForm","Collectible Toys","Funko","Sniper King (pre-release)","1","8","73"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Doflamingo (Autographed)","1","8","210"
"c0f5b84d-a7a7-4e4d-9e50-d0f5ac4b0334","GhostPriceX ","Collectible Toys","Funko","✍🏼 ANIME // Hisoka (Diamond)","1","8","139"
"1a9ee37f-2dd0-4bc7-ac39-c5dabfe80b9c","olive137","Collectible Toys","Funko","Captain America (Autographed)","1","8","366"
"263cfea9-7f4f-4cd9-9c81-12d79e248de3","pepsiguy86","Collectible Toys","Funko","Noelle (Valkryie Armor) (Autographed)","1","8","417"
"263cfea9-7f4f-4cd9-9c81-12d79e248de3","pepsiguy86","Collectible Toys","Funko","Present Mic Signed","1","7","254"
"30e868c8-efee-4578-bc3b-bfea4e5edee7","RiptideCaliber","Collectible Toys","Funko","Ken Kaneki (auto)","1","7","527"
"f4e45f79-a8e9-4667-acc0-67971c57b935","MurkeyNeptune23","Collectible Toys","Funko","Claire (Autographed)","1","7","108"
"60948aba-a79d-4978-aeef-1c683405a176","rodester ","Collectible Toys","Funko","Franken Berry","1","7","124"
"01f8accd-1b0b-4fd3-9da5-799ea1bbcceb","DJBones","Collectible Toys","Funko","Loki GITD (Autographed)","1","7","191"
"f90da73d-47c2-427e-8566-d6fb034d6e0e","DaniFunko","Collectible Toys","Funko","Ahsoka","1","7","128"
"8d19272e-0873-45c3-ad8c-e85f1604cd6d","bnard","Collectible Toys","Funko","Shorty","1","7","118"
"a7696b71-9c36-4a47-9d3d-a7d411be7dc5","eliproz ","Collectible Toys","Funko","Conor McGregor Autograph + Beckett Cert","1","7","871"
"263cfea9-7f4f-4cd9-9c81-12d79e248de3","pepsiguy86","Collectible Toys","Funko","Signed Kabuto funko #936","1","7","152"
"b303fe6c-6041-4963-b770-b09de0d6e586","jakepostell","Collectible Toys","Funko","Signed Kabuto funko #936","1","7","131"
"f4e45f79-a8e9-4667-acc0-67971c57b935","MurkeyNeptune23","Collectible Toys","Funko","Anakin Skywalker (Autographed)","1","7","301"
"9d42ce62-cd8a-4e16-90de-006251edf31d","tam3sun","Collectible Toys","Funko","SODA // Freddy Funko as Thor","1","7","25"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","🚨Rare Shanks Little Things Exclusive 🚨","1","7","385"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","Darth Vader Signed Funko 539","1","7","122"
"6273ab9f-6949-4dbc-a9fa-80acd43dbc02","theCollector ","Collectible Toys","Funko","Arbiter ","1","7","325"
"97f31dab-e5ab-4fcb-a845-a193b77e1eb0","Kiritox13","Collectible Toys","Funko","Goku & Flying Nimbus Auto","1","7","230"
"97aa51f4-abe5-4adb-b914-0f011b815469","celticswin94","Collectible Toys","Funko","Kakashi ArtWork","1","7","207"
"c0f5b84d-a7a7-4e4d-9e50-d0f5ac4b0334","GhostPriceX ","Collectible Toys","Funko","Present Mic Signed","1","7","242"
"254ebec4-63b0-4f75-a354-45bfa23972ee","SnakeEyes","Collectible Toys","Funko","Young Leia Autograph","1","7","350"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","Golden Frieza 47 (Black Eyes) SDCC 2015","1","7","2932"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Noelle (Diamond) [Autographed]","1","7","81"
"263cfea9-7f4f-4cd9-9c81-12d79e248de3","pepsiguy86","Collectible Toys","Funko","Ochaco (Masked)","5","7","137"
"ad26b88a-0d2f-482f-ba00-7130eeb8367c","funkobyry","Collectible Toys","Funko","🚨 Flash Auction! 🚨 Official C2E2","1","7","196"
"1e9000e9-baf5-40da-ab57-ea70059121a4","vecruse","Collectible Toys","Funko","🚨 Flash Auction! 🚨 Official C2E2","1","7","214"
"e3596f15-7e93-4484-83fc-d24588c3d650","FirstForm","Collectible Toys","Funko","Michael Myers 03 Funko - Nick Castle ","1","7","195"
"7b8a6557-a5be-408d-886b-0e0613583911","ericrod0127","Collectible Toys","Funko","Conor McGregor Autograph + Beckett Cert","1","7","171"
"9405e509-1da8-4755-a0d1-82174632c707","Bigtone701","Collectible Toys","Funko","Dr Emmett Brown (Autographed)","1","7","64"
"3988c122-122a-4305-8c91-f70d59255d54","smetcalf","Collectible Toys","Funko","Cap’N Crunch","1","7","136"
"cd557473-8b50-4b1b-a5e8-bf1ba5cce065","hull.hudson","Collectible Toys","Funko","Zoro Enma GITD Funko Pop","1","7","72"
"a15b777e-7e80-469e-8bdd-f81f4b445213","GXC10","Collectible Toys","Funko","limited signed goku ","1","7","75"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Zoro Enma GITD Funko Pop","1","7","62"
"743e236d-0c8b-404d-9e70-f70778e14233","Joshua ","Collectible Toys","Funko","Farmer Freddy (Funko Shop Exclusive)","1","7","232"
"60948aba-a79d-4978-aeef-1c683405a176","rodester ","Collectible Toys","Funko","Joker Chase 🔥","1","7","998"
"6d9ee484-b26a-4063-b893-2bab2fc5fe00","funocollector775","Collectible Toys","Funko","Star wars Collectors Box","1","7","102"
"97f31dab-e5ab-4fcb-a845-a193b77e1eb0","Kiritox13","Collectible Toys","Funko","Vash the Stampede JYB Auto","1","7","253"
"0d374374-169c-46bb-bc76-e3edcde4be9f","lexaliz127","Collectible Toys","Funko","RECOOME AUTO","1","7","340"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","venomized kingpin autograph certified ","1","7","94"
"3988c122-122a-4305-8c91-f70d59255d54","smetcalf","Collectible Toys","Funko","Po with Dumplings (6 inch)(C2E2 Shared)","1","6","149"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","Ash Signed Finko 1142","1","6","140"
"a15b777e-7e80-469e-8bdd-f81f4b445213","GXC10","Collectible Toys","Funko","Gohan funko insider club  autograph ","1","6","71"
"e0ce123a-86f5-47b0-b38d-1ccf4c27dea3","popculturejohn ","Collectible Toys","Funko","Hawkeye (Autographed)","1","6","68"
"a5fdf191-95ea-40c7-8141-42864d4ae90f","pokepodz ","Collectible Toys","Funko","Thor (secret wars)","1","6","37"
"a5fdf191-95ea-40c7-8141-42864d4ae90f","pokepodz ","Collectible Toys","Funko","Ichigo (Autographed)","1","6","218"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Luffy Gear Five 1067 Chase","1","6","94"
"3988c122-122a-4305-8c91-f70d59255d54","smetcalf","Collectible Toys","Funko","Anakin Skywalker (Autographed)","1","6","1284"
"47b4fab6-df61-43be-82ba-3df725553add","cesaresquivel01","Collectible Toys","Funko","Signed Kabuto funko #936","1","6","26"
"45fae586-81df-40e0-b48f-c9bb51ffc665","D-Rod91","Collectible Toys","Funko","Nico Robin Auto - FLASH AUCTION 🤪","1","6","188"
"7c06b93e-51cb-4324-b186-69884da0000a","Laprima710","Collectible Toys","Funko","venomized kingpin autograph certified ","1","6","79"
"e0ce123a-86f5-47b0-b38d-1ccf4c27dea3","popculturejohn ","Collectible Toys","Funko","yajirobe & karin c2e2 con","1","6","65"
"a7696b71-9c36-4a47-9d3d-a7d411be7dc5","eliproz ","Collectible Toys","Funko","Funko NFT Scarecrow ","1","6","304"
"e3596f15-7e93-4484-83fc-d24588c3d650","FirstForm","Collectible Toys","Funko","Jason Voorhees - Signed By Ari Lehman","1","6","212"
"3bc5dd7a-1a60-4c28-9b4c-feb66f50f653","Tru2thegame92","Collectible Toys","Funko","madara con sticker c2e2","1","6","58"
"610e43ff-edea-4364-ad31-ec50c87da285","natesuave","Collectible Toys","Funko","Surfer Freddy","1","6","44"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","⚡️FLASH SALE⚡️Ichigo (Autographed)","1","6","53"
"30e868c8-efee-4578-bc3b-bfea4e5edee7","RiptideCaliber","Collectible Toys","Funko","Mike NFT (LE 2,302)","1","6","128"
"b5765059-18e7-4703-ba91-5769a0adf579","jaypizzle","Collectible Toys","Funko","mirio togata  c2e2 con sticker","1","6","59"
"a2f14afa-70dc-44cd-9250-01cf6fb56852","Monthly Pops","Collectible Toys","Funko","Fry and Leela Futurama 1/750 PCS Grail","1","6","1080"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Child Big Mom","1","6","102"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","ANIME // Yamato (One Piece)","1","6","44"
"cd557473-8b50-4b1b-a5e8-bf1ba5cce065","hull.hudson","Collectible Toys","Funko","ANIME // Yamato (One Piece)","1","6","37"
"9405e509-1da8-4755-a0d1-82174632c707","Bigtone701","Collectible Toys","Funko","Conor McGregor Autograph + Beckett Cert","1","6","90"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Jason Voorhees - Signed By Ari Lehman","1","6","73"
"9405e509-1da8-4755-a0d1-82174632c707","Bigtone701","Collectible Toys","Funko","Goku & Flying Nimbus (Autographed)","1","6","84"
"a15b777e-7e80-469e-8bdd-f81f4b445213","GXC10","Collectible Toys","Funko","madara con sticker c2e2","1","6","65"
"c0f5b84d-a7a7-4e4d-9e50-d0f5ac4b0334","GhostPriceX ","Collectible Toys","Funko","Doflamingo (Autographed)","1","6","302"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Bane","1","6","300"
"c9ada78e-a594-4359-b8c4-bf4495b7c0cf","Jarbear22","Collectible Toys","Funko","Tobi (Autographed)","1","6","64"
"a15b777e-7e80-469e-8bdd-f81f4b445213","GXC10","Collectible Toys","Funko","*Flash Sale* Signed Christopher Sabat","1","6","65"
"0b6b1c83-91d1-42f8-b84f-1b884859e67c","fro455","Collectible Toys","Funko","Poochie Con Sticker C2E2 Funko Simpsons","1","6","78"
"97f31dab-e5ab-4fcb-a845-a193b77e1eb0","Kiritox13","Collectible Toys","Funko","yajirobe & karin c2e2 con","1","6","76"
"c0f5b84d-a7a7-4e4d-9e50-d0f5ac4b0334","GhostPriceX ","Collectible Toys","Funko","luffy gear five autograph ","1","6","250"
"bff0f7ab-e1b5-4ef0-92fa-6e92a17eb9ae","bamf_soto","Collectible Toys","Funko","gold d roger ","1","6","35"
"1580150f-5a7d-476d-8bae-f221cddf2c47","jesders","Collectible Toys","Funko","SODA // Freddy Funko as Thor","1","6","26"
"f9b9e762-35b3-46b0-9864-dbac7e038e64","m_blanco9","Collectible Toys","Funko","Freddy Funko","1","6","98"
"2395c8de-5a0a-42df-a51e-0f3f030fcc1b","iLovePops","Collectible Toys","Funko","Obi-Wan Kenobi 393 Ewan McGregor Auto","1","6","2770"
"4c93d464-5b68-42ab-a1d9-e87dc26011f1","waka01","Collectible Toys","Funko","Ichigo (Autographed)","1","6","132"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Shanks 939 Chase SE","1","6","354"
"b303fe6c-6041-4963-b770-b09de0d6e586","jakepostell","Collectible Toys","Funko","Luffy Gear 5 Chase Bundle","1","6","115"
"dec9555c-2df6-4314-b49b-0948e91816f6","DNJ_Pops","Collectible Toys","Funko","Drew Brees (Autographed)","1","6","160"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","He-Man 106 (Metallic)Toy Tokyo SDCC 2022","1","6","65"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Reverse Flash","1","6","122"
"316a8b5a-a4b8-4a02-a793-18db5528ce91","HR_collectibles","Collectible Toys","Funko","Yamato chase ","1","6","115"
"3062b634-ffd1-4ab1-bffb-96c24d80dde0","Pokémon-Funkomerch","Collectible Toys","Funko","Funko Pop Batman 1997 ","1","6","50"
"23605493-52a0-4ab2-9457-bc0d1f3dc047","envy colletibles","Collectible Toys","Funko","Poochie Con Sticker C2E2 Funko Simpsons","1","6","90"
"f441c9cc-a59d-44db-bfa4-e27abe31e16a","Javiloso","Collectible Toys","Funko","tengen chase signed ","1","6","148"
"7c10f78f-ecfb-4053-848f-6fabfada083c","bankai","Collectible Toys","Funko","Howie Mandel Autographed Gizmo Funko Pop","1","6","600"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","stitch 626 autograph funko pop","1","5","70"
"60948aba-a79d-4978-aeef-1c683405a176","rodester ","Collectible Toys","Funko","Funko NFT Daffy Duck as Pennywise","1","5","180"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","LOTR Elijah Wood Auto Frodo Baggins JSA","1","5","206"
"f9b9e762-35b3-46b0-9864-dbac7e038e64","m_blanco9","Collectible Toys","Funko","Vision (Autographed)","1","5","148"
"b85e0d8b-2b52-477c-9da8-9d8629c7afab","Zjjohnson17","Collectible Toys","Funko","Cable","1","5","67"
"610e43ff-edea-4364-ad31-ec50c87da285","natesuave","Collectible Toys","Funko","Madara Uchiha C2E2 Exclusive","1","5","65"
"6d9ee484-b26a-4063-b893-2bab2fc5fe00","funocollector775","Collectible Toys","Funko","Mike NFT (LE 2,302)","1","5","88"
"e0ce123a-86f5-47b0-b38d-1ccf4c27dea3","popculturejohn ","Collectible Toys","Funko","Vision (Autographed)","1","5","65"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","General Grievous (Hot Topic Exclusive) ","1","5","37"
"5fe07bbc-1291-46dc-97ef-3cec3481969d","Penguin_Collectibles","Collectible Toys","Funko","JVA Franky Signed Funko Pop ","1","5","758"
"605ed024-8993-447c-b56b-e76e534cf8e9","Emmanuel78","Collectible Toys","Funko","🚨 Flash Auction! 🚨 Official C2E2","1","5","311"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Luffy Gear Five [Autographed]","1","5","104"
"8d19272e-0873-45c3-ad8c-e85f1604cd6d","bnard","Collectible Toys","Funko","Arthur W Sword Signed","1","5","42"
"610e43ff-edea-4364-ad31-ec50c87da285","natesuave","Collectible Toys","Funko","Freddy Funko as Genji","1","5","37"
"263cfea9-7f4f-4cd9-9c81-12d79e248de3","pepsiguy86","Collectible Toys","Funko","Neji Chase Funko Pop #1428","1","5","79"
"a2f14afa-70dc-44cd-9250-01cf6fb56852","Monthly Pops","Collectible Toys","Funko","Chase Tengen Uzui 1533","1","5","52"
"13f87af1-d4a2-4121-ac91-6796a77bfabc","pop shop bros","Collectible Toys","Funko","Shanks Wanted Poster (C2E2)","1","5","93"
"94c986ee-ff17-403d-898e-5c893ee4fc35","Stobie58","Collectible Toys","Funko","🚨Rare Shanks Little Things Exclusive 🚨","1","5","645"
"a2f14afa-70dc-44cd-9250-01cf6fb56852","Monthly Pops","Collectible Toys","Funko","Obi-Wan Kenobi 393 Ewan McGregor Auto","1","5","857"
